rodada,instancia,LS,break,TT,tempo,Cmax
1,1,sim,sim,229,6.922,1320.0
1,2,sim,sim,952,7.185,1472.0
1,3,sim,sim,0,6.937,1225.0
1,4,sim,sim,0,7.405,1202.0
1,5,sim,sim,118,5.343,1382.0
1,6,sim,sim,1116,6.824,1256.0
1,7,sim,sim,123,7.619,1397.0
1,8,sim,sim,0,5.686,1258.0
1,9,sim,sim,0,5.433,1396.0
1,10,sim,sim,0,7.827,1195.0
2,1,sim,sim,292,5.772,1334.0
2,2,sim,sim,953,6.401,1472.0
2,3,sim,sim,0,6.385,1224.0
2,4,sim,sim,0,7.416,1202.0
2,5,sim,sim,118,5.669,1382.0
2,6,sim,sim,1061,6.446,1242.0
2,7,sim,sim,123,8.059,1397.0
2,8,sim,sim,0,5.372,1260.0
2,9,sim,sim,0,5.162,1396.0
2,10,sim,sim,0,7.543,1195.0
3,1,sim,sim,255,5.641,1329.0
3,2,sim,sim,953,6.392,1472.0
3,3,sim,sim,0,6.345,1228.0
3,4,sim,sim,1,7.251,1238.0
3,5,sim,sim,118,5.32,1382.0
3,6,sim,sim,1081,5.829,1233.0
3,7,sim,sim,123,7.042,1397.0
3,8,sim,sim,0,5.115,1277.0
3,9,sim,sim,0,4.94,1386.0
3,10,sim,sim,0,6.706,1194.0
4,1,sim,sim,258,6.879,1336.0
4,2,sim,sim,952,6.272,1472.0
4,3,sim,sim,0,5.881,1229.0
4,4,sim,sim,0,7.236,1198.0
4,5,sim,sim,118,6.141,1382.0
4,6,sim,sim,1081,6.344,1233.0
4,7,sim,sim,132,9.435,1392.0
4,8,sim,sim,0,7.166,1281.0
4,9,sim,sim,0,6.168,1397.0
4,10,sim,sim,0,8.162,1194.0
5,1,sim,sim,256,7.013,1329.0
5,2,sim,sim,951,7.585,1472.0
5,3,sim,sim,0,6.844,1210.0
5,4,sim,sim,0,8.739,1202.0
5,5,sim,sim,118,6.731,1382.0
5,6,sim,sim,1105,7.63,1256.0
5,7,sim,sim,123,10.17,1397.0
5,8,sim,sim,0,7.825,1251.0
5,9,sim,sim,0,8.12,1386.0
5,10,sim,sim,0,8.849,1195.0
6,1,sim,sim,286,6.361,1334.0
6,2,sim,sim,946,6.617,1472.0
6,3,sim,sim,0,6.791,1219.0
6,4,sim,sim,0,8.358,1202.0
6,5,sim,sim,118,6.169,1382.0
6,6,sim,sim,1105,7.084,1256.0
6,7,sim,sim,123,9.462,1397.0
6,8,sim,sim,0,6.282,1273.0
6,9,sim,sim,0,6.167,1391.0
6,10,sim,sim,0,8.708,1194.0
7,1,sim,sim,258,7.839,1336.0
7,2,sim,sim,953,6.818,1472.0
7,3,sim,sim,0,7.185,1210.0
7,4,sim,sim,9,8.996,1238.0
7,5,sim,sim,118,6.917,1382.0
7,6,sim,sim,1081,7.852,1233.0
7,7,sim,sim,123,9.747,1397.0
7,8,sim,sim,0,6.369,1256.0
7,9,sim,sim,0,5.711,1390.0
7,10,sim,sim,0,8.393,1194.0
8,1,sim,sim,229,7.8,1320.0
8,2,sim,sim,953,6.718,1472.0
8,3,sim,sim,0,6.643,1229.0
8,4,sim,sim,0,8.298,1202.0
8,5,sim,sim,118,6.565,1382.0
8,6,sim,sim,1108,6.833,1256.0
8,7,sim,sim,123,10.224,1397.0
8,8,sim,sim,0,6.627,1252.0
8,9,sim,sim,0,5.968,1395.0
8,10,sim,sim,0,7.815,1194.0
9,1,sim,sim,229,7.215,1320.0
9,2,sim,sim,951,6.328,1472.0
9,3,sim,sim,0,5.815,1215.0
